Sun Oct 14 14:09:38 2018    profiling.txt

         11793505 function calls (11619950 primitive calls) in 79.280 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1294    0.003    0.000    1.972    0.002 /home/jaurim/anaconda3/lib/python3.7/site-packages/numba/cuda/args.py:65(<lambda>)
        5    0.001    0.000    1.894    0.379 /home/jaurim/anaconda3/lib/python3.7/site-packages/numba/cuda/compiler.py:41(compile_cuda)
    39303    0.546    0.000    1.844    0.000 /home/jaurim/anaconda3/lib/python3.7/site-packages/numba/cuda/compiler.py:593(_prepare_args)
     4140    1.749    0.000    1.749    0.000 {built-in method numpy.core.multiarray.zeros}
        5    0.000    0.000    1.686    0.337 /home/jaurim/anaconda3/lib/python3.7/site-packages/numba/compiler.py:847(compile_extra)
    59794    0.158    0.000    1.644    0.000 /home/jaurim/anaconda3/lib/python3.7/site-packages/numpy/core/fromnumeric.py:2478(prod)
        5    0.000    0.000    1.620    0.324 /home/jaurim/anaconda3/lib/python3.7/site-packages/numba/compiler.py:352(compile_extra)
        5    0.000    0.000    1.613    0.323 /home/jaurim/anaconda3/lib/python3.7/site-packages/numba/compiler.py:799(_compile_bytecode)
        5    0.000    0.000    1.613    0.323 /home/jaurim/anaconda3/lib/python3.7/site-packages/numba/compiler.py:784(_compile_core)
        5    0.000    0.000    1.612    0.322 /home/jaurim/anaconda3/lib/python3.7/site-packages/numba/compiler.py:237(run)
   632/62    0.002    0.000    1.444    0.023 {built-in method builtins.__import__}
38388/34503    0.040    0.000    1.346    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
      275    0.001    0.000    1.315    0.005 /home/jaurim/anaconda3/lib/python3.7/site-packages/scipy/ndimage/filters.py:610(correlate)
      275    0.009    0.000    1.314    0.005 /home/jaurim/anaconda3/lib/python3.7/site-packages/scipy/ndimage/filters.py:583(_correlate_or_convolve)
      275    1.286    0.005    1.286    0.005 {built-in method scipy.ndimage._nd_image.correlate}
   114027    0.123    0.000    1.084    0.000 /home/jaurim/anaconda3/lib/python3.7/site-packages/numba/cuda/cudadrv/devices.py:190(get_context)
        5    0.000    0.000    1.040    0.208 /home/jaurim/anaconda3/lib/python3.7/site-packages/numba/compiler.py:673(stage_nopython_backend)
        5    0.000    0.000    1.040    0.208 /home/jaurim/anaconda3/lib/python3.7/site-packages/numba/compiler.py:617(_backend)
        5    0.000    0.000    1.038    0.208 /home/jaurim/anaconda3/lib/python3.7/site-packages/numba/compiler.py:603(backend_nopython_mode)
        5    0.000    0.000    1.038    0.208 /home/jaurim/anaconda3/lib/python3.7/site-packages/numba/compiler.py:984(native_lowering_stage)
        5    0.000    0.000    1.032    0.206 /home/jaurim/anaconda3/lib/python3.7/site-packages/numba/lowering.py:168(lower)
     8110    0.030    0.000    1.021    0.000 /home/jaurim/anaconda3/lib/python3.7/site-packages/numba/cuda/cudadrv/driver.py:1451(__call__)
      432    0.109    0.000    1.009    0.002 src/SDNN_cuda.py:461(get_STDP_idxs)
     8110    0.406    0.000    0.991    0.000 /home/jaurim/anaconda3/lib/python3.7/site-packages/numba/cuda/cudadrv/driver.py:1486(launch_kernel)
   114027    0.241    0.000    0.961    0.000 /home/jaurim/anaconda3/lib/python3.7/site-packages/numba/cuda/cudadrv/devices.py:154(get_or_create_context)
    17087    0.944    0.000    0.944    0.000 {built-in method numpy.core.multiarray.concatenate}
     8115    0.040    0.000    0.863    0.000 /home/jaurim/anaconda3/lib/python3.7/site-packages/numba/cuda/compiler.py:368(get)
     6631    0.015    0.000    0.837    0.000 /home/jaurim/anaconda3/lib/python3.7/site-packages/numpy/core/fromnumeric.py:49(_wrapfunc)
        1    0.000    0.000    0.837    0.837 src/Classifier.py:1(<module>)
    29897    0.171    0.000    0.778    0.000 /home/jaurim/anaconda3/lib/python3.7/site-packages/numba/cuda/args.py:59(to_device)
        5    0.000    0.000    0.760    0.152 /home/jaurim/anaconda3/lib/python3.7/site-packages/numba/cuda/compiler.py:491(bind)
     2946    0.011    0.000    0.752    0.000 /home/jaurim/anaconda3/lib/python3.7/site-packages/numpy/core/fromnumeric.py:1821(sum)
        5    0.000    0.000    0.743    0.149 /home/jaurim/anaconda3/lib/python3.7/site-packages/numba/lowering.py:206(lower_normal_function)
    29897    0.210    0.000    0.741    0.000 /home/jaurim/anaconda3/lib/python3.7/site-packages/numba/dummyarray.py:218(_compute_extent)
        5    0.001    0.000    0.725    0.145 /home/jaurim/anaconda3/lib/python3.7/site-packages/numba/lowering.py:220(lower_function_body)
      176    0.011    0.000    0.721    0.004 /home/jaurim/anaconda3/lib/python3.7/site-packages/numba/lowering.py:244(lower_block)
    12813    0.073    0.000    0.710    0.000 /home/jaurim/anaconda3/lib/python3.7/site-packages/numpy/lib/arraypad.py:106(_prepend_const)
      275    0.002    0.000    0.705    0.003 /home/jaurim/anaconda3/lib/python3.7/site-packages/PIL/Image.py:1719(resize)
      275    0.699    0.003    0.699    0.003 {method 'resize' of 'ImagingCore' objects}
